Time : 12:58:03; X : 4.8016421317290305; Y : -5.350504727337307; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.01276853882115514
Time : 12:58:03; X : 4.797687122979046; Y : -5.359701563609019; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.014159795794270735
Time : 12:58:03; X : 4.79371742595857; Y : -5.368895532579751; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.015630196856291967
Time : 12:58:03; X : 4.789751183820083; Y : -5.378047669684543; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.017449507881186044
Time : 12:58:04; X : 4.78577068657811; Y : -5.387204403199645; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.01903607255101658
Time : 12:58:04; X : 4.781767315336088; Y : -5.3963723291424515; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.020286216425554393
Time : 12:58:04; X : 4.777744278788723; Y : -5.405540969136083; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.0213616584961267
Time : 12:58:04; X : 4.773700748735805; Y : -5.414707609672366; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.022311739610800352
Time : 12:58:04; X : 4.7696362389171885; Y : -5.423870194155773; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02313487329541175
Time : 12:58:04; X : 4.765551203942085; Y : -5.433024162879197; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02378963781527421
Time : 12:58:04; X : 4.761503379496486; Y : -5.442023898135588; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.022046560364158196
Time : 12:58:04; X : 4.757387675820302; Y : -5.451046770788024; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.021059232549387907
Time : 12:58:04; X : 4.753203999989681; Y : -5.4601525982033055; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.021742692787162454
Time : 12:58:04; X : 4.749008465882205; Y : -5.469233197631575; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02266157196160634
Time : 12:58:05; X : 4.744813226726196; Y : -5.478272367685465; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02395359312047951
Time : 12:58:05; X : 4.740581469783455; Y : -5.487339852057161; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.0247135449155218
Time : 12:58:05; X : 4.736325670579455; Y : -5.496405631151929; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.025331171122777718
Time : 12:58:05; X : 4.732045658075113; Y : -5.505466536700841; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.025869712745612894
Time : 12:58:05; X : 4.727740845705599; Y : -5.514521892018259; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026337863178856225
Time : 12:58:05; X : 4.723411697994504; Y : -5.523568875555274; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026710037594793512
Time : 12:58:05; X : 4.719067064537218; Y : -5.532586657944756; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026679811609379378
Time : 12:58:05; X : 4.714773206544764; Y : -5.541395968133038; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.023555495561513595
Time : 12:58:05; X : 4.710344074911003; Y : -5.5503767163269995; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.023762466034373375
Time : 12:58:05; X : 4.705893007067457; Y : -5.559346967174377; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02434612271725456
Time : 12:58:06; X : 4.701451767579115; Y : -5.568253932886872; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.025598437336708635
Time : 12:58:06; X : 4.69696669410403; Y : -5.577199153608798; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.0261929185665295
Time : 12:58:06; X : 4.692456459583765; Y : -5.586140748608169; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026658393863939978
Time : 12:58:06; X : 4.68792090858345; Y : -5.5950760000356095; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027057170983914247
Time : 12:58:06; X : 4.683359428539833; Y : -5.6040045100701095; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02740297966174321
Time : 12:58:06; X : 4.678772008900003; Y : -5.612925055464384; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.0276881297851439
Time : 12:58:06; X : 4.674159691726749; Y : -5.621833889559423; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027874393213761728
Time : 12:58:06; X : 4.669570356169926; Y : -5.63063102681764; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026385931451699207
Time : 12:58:06; X : 4.664948943011283; Y : -5.639371140643467; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02450739408152458
Time : 12:58:06; X : 4.660236718499484; Y : -5.648211723652956; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.024881422598674874
Time : 12:58:07; X : 4.655540039285046; Y : -5.65697936441373; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026131978943564782
Time : 12:58:07; X : 4.6507962194212595; Y : -5.665788749083833; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02667819505291824
Time : 12:58:07; X : 4.646026949366927; Y : -5.674593298545162; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027097540112343665
Time : 12:58:07; X : 4.641232053569164; Y : -5.683390741316496; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027449236285510104
Time : 12:58:07; X : 4.6364110648612575; Y : -5.692180355225033; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027751623314022922
Time : 12:58:07; X : 4.631563536858977; Y : -5.700961856806322; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02800921575441251
Time : 12:58:07; X : 4.6266901605238875; Y : -5.709732905687755; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028199941460663958
Time : 12:58:07; X : 4.621794350754997; Y : -5.718485759495691; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028220996049790337
Time : 12:58:07; X : 4.616961305525322; Y : -5.727044151805356; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02534535191285059
Time : 12:58:07; X : 4.612006026928053; Y : -5.73571581502826; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02510708347846702
Time : 12:58:08; X : 4.607054439790488; Y : -5.7443351396192375; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026366410042777844
Time : 12:58:08; X : 4.602051353496511; Y : -5.75300191951165; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026856682755088457
Time : 12:58:08; X : 4.597024466968842; Y : -5.761659810308936; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02726247493698697
Time : 12:58:08; X : 4.591971813013541; Y : -5.770310199054826; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02759641823419301
Time : 12:58:08; X : 4.586893197182566; Y : -5.778951775841946; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027881063670213813
Time : 12:58:08; X : 4.581788081662421; Y : -5.787584410885908; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028124208215691837
Time : 12:58:08; X : 4.576656412570079; Y : -5.796207294941565; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02832209936359309
Time : 12:58:08; X : 4.571499471886723; Y : -5.804817086749105; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028441016747889236
Time : 12:58:08; X : 4.5663472253226765; Y : -5.813360692926191; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027663068639595778
Time : 12:58:08; X : 4.561216812436932; Y : -5.821770374549065; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.025256332480465105
Time : 12:58:09; X : 4.556006426037023; Y : -5.8302430387386135; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026295240787429286
Time : 12:58:09; X : 4.5507522790021495; Y : -5.83874893049761; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02687117149270879
Time : 12:58:09; X : 4.545470632121946; Y : -5.847251390041747; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02728445663798862
Time : 12:58:09; X : 4.540163178049927; Y : -5.8557461114894505; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027616292348113802
Time : 12:58:09; X : 4.5348300338549095; Y : -5.864231140403381; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027897421071456208
Time : 12:58:09; X : 4.529470681193399; Y : -5.872706296617282; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028136693166127102
Time : 12:58:09; X : 4.524084663543601; Y : -5.881171421542191; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028338238622227507
Time : 12:58:09; X : 4.518672635418161; Y : -5.889624656027594; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028486600570150955
Time : 12:58:09; X : 4.513237307262956; Y : -5.898060409143664; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02854187247645612
Time : 12:58:09; X : 4.507859050649821; Y : -5.906342896940866; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026389371433263697
Time : 12:58:10; X : 4.502431422903012; Y : -5.914610923821979; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026288037567849365
Time : 12:58:10; X : 4.496940482671547; Y : -5.9229366138359385; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027071043240695758
Time : 12:58:10; X : 4.491409891534692; Y : -5.931276944120995; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02747709613185112
Time : 12:58:10; X : 4.485853244110766; Y : -5.939609284035963; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.027789462219690364
Time : 12:58:10; X : 4.4802710634131; Y : -5.947930970782054; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02805222169910948
Time : 12:58:10; X : 4.474662888369584; Y : -5.956241763722663; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028273991747742144
Time : 12:58:10; X : 4.4690281953014175; Y : -5.964541603422262; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02845981716379864
Time : 12:58:10; X : 4.463366882660109; Y : -5.972829905612909; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.02861034083145242
Time : 12:58:10; X : 4.457680846060191; Y : -5.981103103208131; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028704424489164104
Time : 12:58:10; X : 4.451984796701593; Y : -5.989338951724217; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.028496475234479846
Time : 12:58:11; X : 4.446380062558346; Y : -5.997368344126111; Current_data : 0.0; Voltage_data : 0.0; Linear_x : 0.1; Angular_z : -0.026390299709840193
